114,r002s007.zp31l10c01,4U CC EGS,4174,Online,GDC,EGS - SPR,Archer City,Sapphire Rapids,IPU_DPMO
115,r003s001.zp31l10c01,4U CC EGS,4266,Online,GDC,EGS - SPR,Archer City,Sapphire Rapids,IPU
116,r003s002.zp31l10c01,4U CC EGS,4267,Online,GDC,EGS - SPR,Archer City,Sapphire Rapids,IPU
117,r003s003.zp31l10c01,4U CC EGS,4268,Online,GDC,EGS - SPR,Archer City,Sapphire Rapids,IPU
118,r003s004.zp31l10c01,4U CC EGS,4269,Maintenance,GDC,EGS - SPR,Archer City,Sapphire Rapids,IPU
119,r003s005.zp31l10c01,4U CC EGS,4270,Online,GDC,EGS - SPR,Archer City,Sapphire Rapids,IPU
120,r003s006.zp31l10c01,4U CC EGS,4271,Maintenance,GDC,EGS - SPR,Archer City,Sapphire Rapids,IPU
121,r003s007.zp31l10c01,4U CC EGS,4272,Online,GDC,EGS - SPR,Archer City,Sapphire Rapids,IPU
122,r004s001.zp31l10c01,4U CC EGS,4259,Online,GDC,EGS - SPR,Archer City,Sapphire Rapids,QAT_SW
123,r004s002.zp31l10c01,4U CC EGS,4260,Online,GDC,EGS - SPR,Archer City,Sapphire Rapids,IPU_DPMO
124,r004s003.zp31l10c01,4U CC EGS,4261,Maintenance,GDC,EGS - SPR,Archer City,Sapphire Rapids,IPU
125,r004s004.zp31l10c01,4U CC EGS,4262,Online,GDC,EGS - SPR,Archer City,Sapphire Rapids,IPU
126,r004s005.zp31l10c01,4U CC EGS,4263,Online,GDC,EGS - SPR,Archer City,Sapphire Rapids,PV-Interop
127,r004s006.zp31l10c01,4U CC EGS,4264,Online,GDC,EGS - SPR,Archer City,Sapphire Rapids,PV-Interop
128,r004s007.zp31l10c01,4U CC EGS,4265,Online,GDC,EGS - SPR,Archer City,Sapphire Rapids,IPU
129,r005s001.zp31l10c01,4U CC EGS,4196,Online,GDC,EGS - SPR,Archer City,Sapphire Rapids,CE support for Google
